# Prioritization file for occultation-standard
# Version: 1.1.0
# Updated by: Ben Hord
# Updated on: 2026-09-17 19:45:57
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Hours Requested
# Column 5: Number of Hours Observed
# Column 6: Number of Hours Remaining
rank,target,priority,hours_req,hours_obs,hours_rem
338,G204880973794411392,0.862451,600.0,0.0,600.0
339,G202985823767056640,0.86234,600.0,0.0,600.0
340,G3347370796083158272,0.862229,600.0,0.0,600.0
341,G3018536344575439232,0.862118,600.0,0.0,600.0
342,G2030937687533983488,0.862007,600.0,0.0,600.0
343,G3323945146804919296,0.861896,600.0,0.0,600.0
344,G2069281781130992512,0.861785,600.0,0.0,600.0
345,G413550413688067200,0.861674,600.0,0.0,600.0
346,G3131335143684872704,0.861563,600.0,0.0,600.0
347,G185682744859022976,0.861452,600.0,0.0,600.0
348,G186913304529270016,0.86134,600.0,0.0,600.0
349,G3335547747551537664,0.861229,600.0,0.0,600.0
350,G3113844799912365184,0.861118,600.0,0.0,600.0
351,G3378189248018294656,0.861007,600.0,0.0,600.0
352,G225433079502641792,0.860896,600.0,0.0,600.0
353,G3356523130876821888,0.860785,600.0,0.0,600.0
354,G3348611006543721728,0.860674,600.0,0.0,600.0
355,G458645989750495616,0.860563,600.0,0.0,600.0
356,G3356795741041911936,0.860452,600.0,0.0,600.0
357,G3132292921397412864,0.860341,600.0,0.0,600.0
358,G187061635520334720,0.86023,600.0,0.0,600.0
359,G3423409653008580352,0.860118,600.0,0.0,600.0
360,G3154183201471970560,0.860007,600.0,0.0,600.0
361,G3055688846778640128,0.859896,600.0,0.0,600.0
362,G245267685151430016,0.859785,600.0,0.0,600.0
363,G3125709934822430720,0.859674,600.0,0.0,600.0
364,G3371236383162331264,0.859563,600.0,0.0,600.0
365,G164896065218435968,0.859452,600.0,0.0,600.0
366,G210380456077220480,0.859341,600.0,0.0,600.0
367,G3360193468190413696,0.85923,600.0,0.0,600.0
368,G3317227066334837248,0.859119,600.0,0.0,600.0
369,G504512186016881152,0.859008,600.0,0.0,600.0
370,G3397338479965909248,0.858897,600.0,0.0,600.0
371,G3398432764618846336,0.858785,600.0,0.0,600.0
372,G3382436970675139456,0.858674,600.0,0.0,600.0
373,G3444069098537504512,0.858563,600.0,0.0,600.0
374,G3283347848906203520,0.858452,600.0,0.0,600.0
375,G203107495897777664,0.858341,600.0,0.0,600.0
376,G1442372789637715328,0.85823,600.0,0.0,600.0
377,G3423604949462822272,0.858119,600.0,0.0,600.0
378,G3283364444659834752,0.858008,600.0,0.0,600.0
379,G941748270585401984,0.857897,600.0,0.0,600.0
380,G3132144143731035264,0.857786,600.0,0.0,600.0
381,G1997159414687771264,0.857675,600.0,0.0,600.0
382,G506123657748170368,0.857563,600.0,0.0,600.0
383,G453773675766629120,0.857452,600.0,0.0,600.0
384,G3132980592900051200,0.857341,600.0,0.0,600.0
385,G1029906258202069888,0.85723,600.0,0.0,600.0
386,G3425184986329903488,0.857119,600.0,0.0,600.0
387,G3201115030667802880,0.857008,600.0,0.0,600.0
388,G3350927784920847872,0.856897,600.0,0.0,600.0
389,G3124629943825342464,0.856786,600.0,0.0,600.0
390,G414308664397291264,0.856675,600.0,0.0,600.0
391,G194248760775305472,0.856564,600.0,0.0,600.0
392,G391460327428745088,0.856453,600.0,0.0,600.0
393,G285700129316576768,0.856341,600.0,0.0,600.0
394,G244497649054874880,0.85623,600.0,0.0,600.0
395,G276603556084862336,0.856119,600.0,0.0,600.0
396,G3086396454194210560,0.856008,600.0,0.0,600.0
397,G445846265650589952,0.855897,600.0,0.0,600.0
398,G3453094886409050240,0.855786,600.0,0.0,600.0
399,G248775986236536576,0.855675,600.0,0.0,600.0
400,G1966022688493284352,0.855564,600.0,0.0,600.0
401,G2025242320388060288,0.855453,600.0,0.0,600.0
402,G182732407266182912,0.855342,600.0,0.0,600.0
403,G2036319006661201152,0.855231,600.0,0.0,600.0
404,G3385762714172704384,0.855119,600.0,0.0,600.0
405,G3115354566813085184,0.855008,600.0,0.0,600.0
406,G3396696880572202112,0.854897,600.0,0.0,600.0
407,G3376612720144003712,0.854786,600.0,0.0,600.0
408,G1769982449616717312,0.854675,600.0,0.0,600.0
409,G190785028567285888,0.854564,600.0,0.0,600.0
410,G3317986828870134528,0.854453,600.0,0.0,600.0
411,G183705616792972544,0.854342,600.0,0.0,600.0
412,G3138784506764500480,0.854231,600.0,0.0,600.0
413,G3438123008373328768,0.85412,600.0,0.0,600.0
414,G183307112549488640,0.854009,600.0,0.0,600.0
415,G1891265522828566272,0.853897,600.0,0.0,600.0
416,G3316086735336371712,0.853786,600.0,0.0,600.0
